0003,1,1,time
0003,1,1,1977-01-01T00:16:19.100Z
0003,1,1,1977-01-01T08:10:36.100Z
0001,1,0,1977-01-01T16:00:53.400Z
0003,1,1,1977-01-13T03:27:22.200Z
0001,1,0,1977-01-19T18:56:20.300Z
0004,0,2,1977-01-23T17:48:01.500Z
0003,1,1,1977-01-26T05:43:21.900Z
0001,1,0,1977-01-30T23:14:59.100Z
0003,1,1,1977-02-12T11:44:25.400Z
0004,0,2,1977-02-14T04:45:16.400Z
0003,1,1,1977-02-21T17:48:02.000Z
0001,1,0,1977-03-01T20:37:25.100Z
0001,1,0,1977-03-16T16:29:00.700Z
0001,1,0,1977-03-17T16:58:41.600Z
0003,1,1,1977-03-19T06:28:18.700Z
0001,1,0,1977-03-23T02:11:14.600Z
0004,0,2,1977-03-24T07:27:17.200Z
0003,1,1,1977-04-07T01:24:27.500Z
0001,1,0,1977-04-08T17:30:53.900Z
0003,1,1,1977-04-09T13:41:13.400Z
0003,1,1,1977-04-13T21:44:53.900Z
0001,1,0,1977-04-18T10:20:52.300Z
0001,1,0,1977-05-08T16:45:16.000Z
0001,1,0,1977-05-08T18:00:00.000Z
0001,1,0,1977-05-09T04:48:46.200Z
0001,1,0,1977-05-10T23:56:32.400Z
0003,1,1,1977-05-14T09:16:02.000Z
0004,0,2,1977-05-15T21:52:43.900Z
0003,1,1,1977-05-16T07:09:41.100Z
0001,1,0,1977-05-17T14:15:21.900Z
0001,1,0,1977-05-21T12:02:22.100Z
0001,1,0,1977-05-21T14:14:41.300Z
0001,1,0,1977-05-21T20:26:06.000Z
0001,1,0,1977-05-22T10:24:23.900Z
0001,1,0,1977-05-26T06:19:40.800Z
0003,1,1,1977-05-28T07:27:10.600Z
0003,1,1,1977-06-21T05:03:06.000Z
0001,1,0,1977-06-27T08:30:36.200Z
0004,0,2,1977-06-27T18:57:20.400Z
0001,1,0,1977-07-01T20:42:10.300Z
0001,1,0,1977-07-06T23:58:02.700Z
0004,0,2,1977-07-16T16:34:17.600Z
0004,0,2,1977-07-19T13:04:11.000Z
0004,0,2,1977-07-24T05:44:43.900Z
0003,1,1,1977-07-29T23:15:21.500Z
