0,1,2,3,4,5
24990,24990,27961,7617,36391,29876
24990,27961,7617,36391,29876,17752
27961,7617,36391,29876,17752,15628
7617,36391,29876,17752,15628,24991
36391,29876,17752,15628,24991,3477
29876,17752,15628,24991,3477,11996
17752,15628,24991,3477,11996,4588
15628,24991,3477,11996,4588,24566
24991,3477,11996,4588,24566,19059
3477,11996,4588,24566,19059,24990
11996,4588,24566,19059,24990,20038
4588,24566,19059,24990,20038,22865
24566,19059,24990,20038,22865,6701
19059,24990,20038,22865,6701,10085
24990,20038,22865,6701,10085,23226
20038,22865,6701,10085,23226,11802
22865,6701,10085,23226,11802,24800
6701,10085,23226,11802,24800,24991
10085,23226,11802,24800,24991,4199
23226,11802,24800,24991,4199,253
11802,24800,24991,4199,253,15429
24800,24991,4199,253,15429,15804
24991,4199,253,15429,15804,6125
4199,253,15429,15804,6125,14117
253,15429,15804,6125,14117,24802
15429,15804,6125,14117,24802,24801
15804,6125,14117,24802,24801,24991
6125,14117,24802,24801,24991,16222
14117,24802,24801,24991,16222,20384
24802,24801,24991,16222,20384,37435
24801,24991,16222,20384,37435,12376
24991,16222,20384,37435,12376,12567
16222,20384,37435,12376,12567,12377
20384,37435,12376,12567,12377,12376
37435,12376,12567,12377,12376,12946
12376,12567,12377,12376,12946,12375
12567,12377,12376,12946,12375,26316
12377,12376,12946,12375,26316,24991
12376,12946,12375,26316,24991,12186
12946,12375,26316,24991,12186,12186
12375,26316,24991,12186,12186,12376
26316,24991,12186,12186,12376,25518
24991,12186,12186,12376,25518,17756
12186,12186,12376,25518,17756,4964
12186,12376,25518,17756,4964,12565
12376,25518,17756,4964,12565,24801
25518,17756,4964,12565,24801,24801
17756,4964,12565,24801,24801,11809
4964,12565,24801,24801,11809,12185
12565,24801,24801,11809,12185,12376
24801,24801,11809,12185,12376,26613
24801,11809,12185,12376,26613,24801
11809,12185,12376,26613,24801,20573
12185,12376,26613,24801,20573,29876
12376,26613,24801,20573,29876,7803
26613,24801,20573,29876,7803,24422
24801,20573,29876,7803,24422,22130
20573,29876,7803,24422,22130,30874
29876,7803,24422,22130,30874,26507
7803,24422,22130,30874,26507,6105
24422,22130,30874,26507,6105,6505
22130,30874,26507,6105,6505,24800
30874,26507,6105,6505,24800,24800
26507,6105,6505,24800,24800,17754
6105,6505,24800,24800,17754,17754
6505,24800,24800,17754,17754,24801
24800,24800,17754,17754,24801,24423
24800,17754,17754,24801,24423,8189
17754,17754,24801,24423,8189,30155
17754,24801,24423,8189,30155,16369
24801,24423,8189,30155,16369,199
24423,8189,30155,16369,199,26684
8189,30155,16369,199,26684,33364
30155,16369,199,26684,33364,7074
16369,199,26684,33364,7074,19609
199,26684,33364,7074,19609,16759
26684,33364,7074,19609,16759,26263
33364,7074,19609,16759,26263,2147
7074,19609,16759,26263,2147,7080
19609,16759,26263,2147,7080,3624
16759,26263,2147,7080,3624,24801
