0,1,2,3,4,5
2786,2786,3147,838,4066,3344
2786,3147,838,4066,3344,2012
3147,838,4066,3344,2012,1744
838,4066,3344,2012,1744,2786
4066,3344,2012,1744,2786,403
3344,2012,1744,2786,403,1353
2012,1744,2786,403,1353,522
1744,2786,403,1353,522,2771
2786,403,1353,522,2771,2132
403,1353,522,2771,2132,2786
1353,522,2771,2132,2786,2270
522,2771,2132,2786,2270,2582
2771,2132,2786,2270,2582,721
2132,2786,2270,2582,721,1093
2786,2270,2582,721,1093,2576
2270,2582,721,1093,2576,1288
2582,721,1093,2576,1288,2786
721,1093,2576,1288,2786,2786
1093,2576,1288,2786,2786,455
2576,1288,2786,2786,455,21
1288,2786,2786,455,21,1741
2786,2786,455,21,1741,1740
2786,455,21,1741,1740,655
455,21,1741,1740,655,1555
21,1741,1740,655,1555,2786
1741,1740,655,1555,2786,2786
1740,655,1555,2786,2786,2786
655,1555,2786,2786,2786,1816
1555,2786,2786,2786,1816,2258
2786,2786,2786,1816,2258,4162
2786,2786,1816,2258,4162,1353
2786,1816,2258,4162,1353,1417
1816,2258,4162,1353,1417,1353
2258,4162,1353,1417,1353,1353
4162,1353,1417,1353,1353,1417
1353,1417,1353,1353,1417,1353
1417,1353,1353,1417,1353,2976
1353,1353,1417,1353,2976,2786
1353,1417,1353,2976,2786,1353
1417,1353,2976,2786,1353,1353
1353,2976,2786,1353,1353,1353
2976,2786,1353,1353,1353,2836
2786,1353,1353,1353,2836,2013
1353,1353,1353,2836,2013,520
1353,1353,2836,2013,520,1417
1353,2836,2013,520,1417,2786
2836,2013,520,1417,2786,2786
2013,520,1417,2786,2786,1290
520,1417,2786,2786,1290,1353
1417,2786,2786,1290,1353,1353
2786,2786,1290,1353,1353,2949
2786,1290,1353,1353,2949,2786
1290,1353,1353,2949,2786,2322
1353,1353,2949,2786,2322,3344
1353,2949,2786,2322,3344,837
2949,2786,2322,3344,837,2722
2786,2322,3344,837,2722,2462
2322,3344,837,2722,2462,3488
3344,837,2722,2462,3488,2977
837,2722,2462,3488,2977,649
2722,2462,3488,2977,649,719
2462,3488,2977,649,719,2786
3488,2977,649,719,2786,2786
2977,649,719,2786,2786,2012
649,719,2786,2786,2012,2012
719,2786,2786,2012,2012,2786
2786,2786,2012,2012,2786,2723
2786,2012,2012,2786,2723,903
2012,2012,2786,2723,903,3373
2012,2786,2723,903,3373,1802
2786,2723,903,3373,1802,3
2723,903,3373,1802,3,2972
903,3373,1802,3,2972,3750
3373,1802,3,2972,3750,783
1802,3,2972,3750,783,2189
3,2972,3750,783,2189,1869
2972,3750,783,2189,1869,2959
3750,783,2189,1869,2959,211
783,2189,1869,2959,211,785
2189,1869,2959,211,785,389
1869,2959,211,785,389,2786
2959,211,785,389,2786,2785
211,785,389,2786,2785,584
785,389,2786,2785,584,3035
389,2786,2785,584,3035,2785
2786,2785,584,3035,2785,1288
2785,584,3035,2785,1288,2902
584,3035,2785,1288,2902,2902
3035,2785,1288,2902,2902,2902
2785,1288,2902,2902,2902,2902
1288,2902,2902,2902,2902,2902
2902,2902,2902,2902,2902,2902
2902,2902,2902,2902,2902,2786
2902,2902,2902,2902,2786,529
2902,2902,2902,2786,529,784
2902,2902,2786,529,784,1102
2902,2786,529,784,1102,784
2786,529,784,1102,784,1355
529,784,1102,784,1355,2914
784,1102,784,1355,2914,2786
1102,784,1355,2914,2786,967
784,1355,2914,2786,967,2089
1355,2914,2786,967,2089,710
2914,2786,967,2089,710,2124
2786,967,2089,710,2124,3243
967,2089,710,2124,3243,2785
2089,710,2124,3243,2785,1102
710,2124,3243,2785,1102,2838
2124,3243,2785,1102,2838,2318
3243,2785,1102,2838,2318,3344
2785,1102,2838,2318,3344,2786
1102,2838,2318,3344,2786,1095
2838,2318,3344,2786,1095,903
2318,3344,2786,1095,903,966
3344,2786,1095,903,966,1419
2786,1095,903,966,1419,964
1095,903,966,1419,964,3434
903,966,1419,964,3434,1480
966,1419,964,3434,1480,2786
1419,964,3434,1480,2786,2463
964,3434,1480,2786,2463,1354
3434,1480,2786,2463,1354,1289
1480,2786,2463,1354,1289,1289
2786,2463,1354,1289,1289,2068
2463,1354,1289,1289,2068,1031
1354,1289,1289,2068,1031,2718
1289,1289,2068,1031,2718,657
1289,2068,1031,2718,657,1093
2068,1031,2718,657,1093,1029
1031,2718,657,1093,1029,1354
2718,657,1093,1029,1354,1354
657,1093,1029,1354,1354,1418
1093,1029,1354,1354,1418,1224
1029,1354,1354,1418,1224,2849
1354,1354,1418,1224,2849,5
1354,1418,1224,2849,5,2786
1418,1224,2849,5,2786,393
1224,2849,5,2786,393,785
2849,5,2786,393,785,1354
5,2786,393,785,1354,2786
2786,393,785,1354,2786,2786
393,785,1354,2786,2786,1222
785,1354,2786,2786,1222,903
1354,2786,2786,1222,903,903
2786,2786,1222,903,903,2513
2786,1222,903,903,2513,2786
1222,903,903,2513,2786,147
903,903,2513,2786,147,3242
903,2513,2786,147,3242,1288
2513,2786,147,3242,1288,2786
2786,147,3242,1288,2786,529
147,3242,1288,2786,529,1222
3242,1288,2786,529,1222,1222
1288,2786,529,1222,1222,1287
2786,529,1222,1222,1287,2786
529,1222,1222,1287,2786,2849
1222,1222,1287,2786,2849,1289
1222,1287,2786,2849,1289,524
1287,2786,2849,1289,524,2786
2786,2849,1289,524,2786,2785
2849,1289,524,2786,2785,1288
1289,524,2786,2785,1288,1289
524,2786,2785,1288,1289,1289
2786,2785,1288,1289,1289,1289
2785,1288,1289,1289,1289,2849
1288,1289,1289,1289,2849,1287
1289,1289,1289,2849,1287,2850
1289,1289,2849,1287,2850,1160
1289,2849,1287,2850,1160,2786
2849,1287,2850,1160,2786,2914
1287,2850,1160,2786,2914,1157
2850,1160,2786,2914,1157,1158
1160,2786,2914,1157,1158,901
2786,2914,1157,1158,901,773
2914,1157,1158,901,773,1224
1157,1158,901,773,1224,1093
1158,901,773,1224,1093,2786
901,773,1224,1093,2786,1289
773,1224,1093,2786,1289,773
1224,1093,2786,1289,773,981
1093,2786,1289,773,981,836
2786,1289,773,981,836,836
1289,773,981,836,836,1223
773,981,836,836,1223,1029
981,836,836,1223,1029,1093
836,836,1223,1029,1093,1222
836,1223,1029,1093,1222,3240
1223,1029,1093,1222,3240,2720
1029,1093,1222,3240,2720,901
1093,1222,3240,2720,901,1159
1222,3240,2720,901,1159,80
3240,2720,901,1159,80,1092
2720,901,1159,80,1092,1290
901,1159,80,1092,1290,1287
1159,80,1092,1290,1287,1287
80,1092,1290,1287,1287,836
1092,1290,1287,1287,836,1352
1290,1287,1287,836,1352,1093
1287,1287,836,1352,1093,1029
1287,836,1352,1093,1029,1223
836,1352,1093,1029,1223,520
1352,1093,1029,1223,520,1157
1093,1029,1223,520,1157,1094
1029,1223,520,1157,1094,1095
1223,520,1157,1094,1095,1030
520,1157,1094,1095,1030,966
1157,1094,1095,1030,966,1094
1094,1095,1030,966,1094,1094
1095,1030,966,1094,1094,1094
1030,966,1094,1094,1094,1095
966,1094,1094,1094,1095,1029
1094,1094,1094,1095,1029,1288
1094,1094,1095,1029,1288,1094
1094,1095,1029,1288,1094,1351
1095,1029,1288,1094,1351,1287
1029,1288,1094,1351,1287,1095
1288,1094,1351,1287,1095,1159
1094,1351,1287,1095,1159,1287
1351,1287,1095,1159,1287,1288
1287,1095,1159,1287,1288,1352
1095,1159,1287,1288,1352,1287
1159,1287,1288,1352,1287,1287
1287,1288,1352,1287,1287,2786
1288,1352,1287,1287,2786,1352
1352,1287,1287,2786,1352,1288
1287,1287,2786,1352,1288,1288
1287,2786,1352,1288,1288,1288
2786,1352,1288,1288,1288,1288
1352,1288,1288,1288,1288,837
1288,1288,1288,1288,837,1223
1288,1288,1288,837,1223,1157
1288,1288,837,1223,1157,1093
1288,837,1223,1157,1093,1157
837,1223,1157,1093,1157,1093
1223,1157,1093,1157,1093,901
1157,1093,1157,1093,901,901
1093,1157,1093,901,901,1094
1157,1093,901,901,1094,1095
1093,901,901,1094,1095,1095
901,901,1094,1095,1095,1097
901,1094,1095,1095,1097,785
1094,1095,1095,1097,785,1287
1095,1095,1097,785,1287,1223
1095,1097,785,1287,1223,903
1097,785,1287,1223,903,1288
785,1287,1223,903,1288,3334
1287,1223,903,1288,3334,1093
1223,903,1288,3334,1093,1029
903,1288,3334,1093,1029,1095
1288,3334,1093,1029,1095,1095
3334,1093,1029,1095,1095,1222
1093,1029,1095,1095,1222,1095
1029,1095,1095,1222,1095,1094
1095,1095,1222,1095,1094,1223
1095,1222,1095,1094,1223,1095
1222,1095,1094,1223,1095,1158
1095,1094,1223,1095,1158,1159
1094,1223,1095,1158,1159,1223
1223,1095,1158,1159,1223,1094
1095,1158,1159,1223,1094,1159
1158,1159,1223,1094,1159,1160
1159,1223,1094,1159,1160,1224
1223,1094,1159,1160,1224,1224
1094,1159,1160,1224,1224,783
1159,1160,1224,1224,783,720
1160,1224,1224,783,720,783
1224,1224,783,720,783,2849
1224,783,720,783,2849,2836
783,720,783,2849,2836,2837
720,783,2849,2836,2837,593
783,2849,2836,2837,593,142
2849,2836,2837,593,142,2785
2836,2837,593,142,2785,2900
2837,593,142,2785,2900,3240
593,142,2785,2900,3240,3034
